frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
140,1.0,[1124.43798828125 767.578125 1218.932861328125 802.81640625],[1124.43798828125 767.578125 1218.932861328125 802.81640625],0.34490615129470825,AP05JEO,0.6268397245657609
141,8.0,[626.8364868164062 700.993896484375 707.1359252929688 732.9332275390625],[626.8364868164062 700.993896484375 707.1359252929688 732.9332275390625],0.5784456133842468,KN05ZTK,0.10678431948948482
141,1.0,[1125.042236328125 773.245361328125 1226.14453125 811.20068359375],[1125.042236328125 773.245361328125 1226.14453125 811.20068359375],0.5173993706703186,XP05JEQ,0.11590891127781745
142,8.0,[625.7994384765625 700.63427734375 702.521240234375 733.75830078125],[625.7994384765625 700.63427734375 702.521240234375 733.75830078125],0.5976653099060059,KH05ZIX,0.6353167012922823
142,1.0,[1120.84033203125 771.5806274414062 1230.802978515625 814.4580688476562],[1120.84033203125 771.5806274414062 1230.802978515625 814.4580688476562],0.5929179787635803,AP05JEO,0.41050313291075696
143,1.0,[1125.203369140625 774.7401123046875 1229.5172119140625 819.4259033203125],[1125.203369140625 774.7401123046875 1229.5172119140625 819.4259033203125],0.6338307857513428,AP05JEO,0.35159254929421163
145,1.0,[1131.0621337890625 777.9755859375 1232.5855712890625 821.2428588867188],[1131.0621337890625 777.9755859375 1232.5855712890625 821.2428588867188],0.601316511631012,AP05JEO,0.8562356278798854
146,1.0,[1128.2218017578125 780.848876953125 1234.39111328125 823.6875],[1128.2218017578125 780.848876953125 1234.39111328125 823.6875],0.6367479562759399,AP05JEO,0.7349383603316767
147,1.0,[1133.380859375 781.986328125 1239.327880859375 826.4672241210938],[1133.380859375 781.986328125 1239.327880859375 826.4672241210938],0.6009174585342407,AP05JEQ,0.39720441645263216
148,1.0,[1133.1893310546875 783.4187622070312 1238.7296142578125 828.0547485351562],[1133.1893310546875 783.4187622070312 1238.7296142578125 828.0547485351562],0.5953232049942017,KP05JEO,0.30252293384317924
149,1.0,[1136.2313232421875 791.65869140625 1239.364990234375 833.7610473632812],[1136.2313232421875 791.65869140625 1239.364990234375 833.7610473632812],0.5370880961418152,IP05JEO,0.15789238282440998
150,1.0,[1132.571044921875 794.6112670898438 1242.399169921875 834.9182739257812],[1132.571044921875 794.6112670898438 1242.399169921875 834.9182739257812],0.552453875541687,AP05JEO,0.1288207894278398
150,8.0,[613.306640625 720.5008544921875 698.1871337890625 761.9617919921875],[613.306640625 720.5008544921875 698.1871337890625 761.9617919921875],0.2940482497215271,KH05ZZK,0.30212518291950197
151,8.0,[616.8702392578125 724.2261962890625 696.8340454101562 756.1499633789062],[616.8702392578125 724.2261962890625 696.8340454101562 756.1499633789062],0.5938484072685242,KH05ZZK,0.14877779854194056
151,1.0,[1129.494873046875 797.3433837890625 1243.7178955078125 839.3148193359375],[1129.494873046875 797.3433837890625 1243.7178955078125 839.3148193359375],0.5699650049209595,AP05JEQ,0.6159600360963577
152,8.0,[612.4354858398438 721.9089965820312 696.8294067382812 763.5322265625],[612.4354858398438 721.9089965820312 696.8294067382812 763.5322265625],0.3573946952819824,KN05ZIK,0.18488350554725452
152,1.0,[1132.9903564453125 799.5535888671875 1240.35302734375 845.5987548828125],[1132.9903564453125 799.5535888671875 1240.35302734375 845.5987548828125],0.5949482321739197,AP05JEC,0.5151087760343074
153,1.0,[1132.895751953125 800.893798828125 1237.531982421875 847.5444946289062],[1132.895751953125 800.893798828125 1237.531982421875 847.5444946289062],0.5877894759178162,XP05JEO,0.08611407319746615
154,1.0,[1137.79833984375 803.8538818359375 1239.474609375 847.5562133789062],[1137.79833984375 803.8538818359375 1239.474609375 847.5562133789062],0.588920533657074,AP05JEO,0.4140169553903864
154,8.0,[613.630126953125 729.3610229492188 691.9906005859375 767.255859375],[613.630126953125 729.3610229492188 691.9906005859375 767.255859375],0.5811893343925476,KH05ZZK,0.4790350288499252
